Run,BSH enzyme,Inhibitor,Replicate,Sample ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA
Run 6,B,XIX,SD,B-XIX-2,0.0451092107815392,0.0165077932302696,0.0174583471821743,0.00910485139911685,0.00198950353941211,0.429114335702425,0.0100612732295669,1.1451485639031,0.834757378279661,0.00169404161696223
Run 6,B,XIX,CV (%),B-XIX-3,25.2115685630696,29.2958009599806,47.7691409738266,15.1323816632044,10.4361011666806,60.7153927035145,5.41802543326166,14.0152602986022,6.98763842744151,12.8824457563668
Run 6,B,XX,Average,B-XX-1,0.174018666666667,0.0567573333333333,0.0668473333333333,0.0514863333333333,0.0315793333333333,2.55169466666667,0.175850333333333,5.73537366666667,11.9007153333333,0.045594
Run 6,B,XX,SD,B-XX-2,0.0988874332376634,0.0238988314009981,0.00432293445859792,0.025046842122977,0.00429497629019455,1.0741471403557,0.0244867015813346,0.396103301751365,0.144140947021772,0.00787461624461789
Run 6,B,XX,CV (%),B-XX-3,56.8257619322428,42.10703709535,6.46687645271004,48.6475546060321,13.6005920228247,42.0954416838156,13.9247399292209,6.90632075209801,1.21119565492034,17.2711677953632
Run 2,F,NI,Average,F-NI-1,17.7798166666667,0.66855,6.89254666666667,6.71405,0.000246666666666667,0.00261,0.0165366666666667,0.00764666666666667,0.0370533333333333,0.00307333333333333
Run 2,F,NI,SD,F-NI-2,3.49923021149414,0.573707387001423,1.51916817532929,0.375958954807569,0.0000351188458428425,0.0010987720418722,0.00195492540352141,0.0052051352848253,0.0221298493743932,0.000315013227235514
Run 2,F,NI,CV (%),F-NI-3,19.6809127849695,85.8136843918066,22.0407383337164,5.59958526980837,14.2373699362875,42.0985456656015,11.8217621660234,68.0706445269219,59.7243146124322,10.2498880879235
Run 3,F,NI,Average,F-NI-1,0.0153623333333333,0.00579,0.007643,0.00923766666666667,0.000789333333333333,0.14859,0.00689866666666667,0.009717,0.004612,0.000872666666666667
Run 3,F,NI,SD,F-NI-2,0.00620500075208161,0.0000512152321092075,0.00250466844113148,0.00279535692413927,0.00028467759541863,0.128416262159432,0.00235852270146661,0.00582020128517906,0.000828858854087956,0.000768110886092193
Run 3,F,NI,CV (%),F-NI-3,40.3910045267535,0.884546323129663,32.7707502437718,30.2604220850063,36.0655737439143,86.4232197048469,34.188094822187,59.8971008045596,17.9717878163043,88.0188181159885
Run 4,F,NI,Average,F-NI-1,0.116620666666667,0.031658,0.0881406666666667,0.032699,0.00886166666666667,0.997305666666667,0.0100813333333333,0.00952833333333333,0.006108,0.007049
Run 4,F,NI,SD,F-NI-2,0.0311295095100025,0.00901408170586444,0.0233609106486313,0.00429664252643852,0.0014156476727397,0.803821943579754,0.00221550047017222,0.00498674345974739,0.00179327939819761,0.00251945013842306
Run 4,F,NI,CV (%),F-NI-3,26.6929613762018,28.4733138728424,26.5041229345115,13.1399814258495,15.9749596321952,80.5993558891928,21.9762644177909,52.3359467526401,29.3595186345385,35.7419511763805
Run 5,F,NI,Average,F-NI-1,1.456749,0.381808,0.280122333333333,0.110678333333333,0.0855406666666667,1.38527733333333,0.124263333333333,0.0832043333333333,0.05247,0.0357143333333333
Run 5,F,NI,SD,F-NI-2,0.139419439720578,0.033501736731101,0.0411668863206016,0.0117820910424819,0.0317895103034528,1.40266162137072,0.0489620703231934,0.0377361445345617,0.0101072082693492,0.025410448369388
Run 5,F,NI,CV (%),F-NI-3,9.57058763867887,8.77449836857819,14.6960386309559,10.6453455591868,37.1630378184093,101.254931963375,39.4018645804825,45.3535807845285,19.2628326078696,71.149160568739
Run 6,F,NI,Average,F-NI-1,0.821649,0.040547,0.0487286666666667,0.0704583333333333,0.0148783333333333,1.968544,0.0139146666666667,0.009855,0.0239993333333333,0.00715966666666667
Run 6,F,NI,SD,F-NI-2,0.0464556473639104,0.00635896461697972,0.0106083462581749,0.0134729821989541,0.00357980646590473,0.565571024179103,0.00825290375160969,0.00468498399143476,0.00557839845594892,0.00258916209097332
Run 6,F,NI,CV (%),F-NI-3,5.65395288790109,15.6829472389566,21.7702370777808,19.12191441602,24.0605341048823,28.7304233067233,59.310826118314,47.5391577010123,23.2439725656918,36.1631652913076
Run 2,F,R,Average,F-R-1,30.8139666666667,5.66547333333333,10.62406,3.22585666666667,1.54322333333333,0.130813333333333,1.34181,6.24351666666667,2.7822,0.0775066666666667
Run 2,F,R,SD,F-R-2,2.65926403482868,0.348670459651134,0.728677747155764,0.20293245928962,0.215594541288348,0.0277943273588935,0.221696147688678,0.889570249858511,0.377962905455019,0.0671750075052719
Run 2,F,R,CV (%),F-R-3,8.63006072407213,6.15430413553797,6.85875030031611,6.29080831106217,13.9704044535581,21.2473198646113,16.5221713721524,14.2479038233022,13.585037217131,86.6699735574641
Run 2,F,CAPE,Average,F-CAPE-1,3.85165333333333,0.122416666666667,1.45956666666667,1.52572333333333,0.00424333333333333,0.0023,0.00886666666666667,0.00803666666666667,0.0109333333333333,0.00353
Run 2,F,CAPE,SD,F-CAPE-2,2.20491950307337,0.0235939406062941,0.835570746875053,0.469773737275013,0.00575705074958814,0.000704911341943084,0.00143305035966407,0.00557772653805593,0.00363414822665963,0.0019359493795035
Run 2,F,CAPE,CV (%),F-CAPE-3,57.246052857129,19.2734708832899,57.2478644489267,30.790230903048,135.672837775054,30.6483192149167,16.1622221014745,69.4034824312227,33.2391606096918,54.8427586261615
Run 2,F,CAC,Average,F-CAC-1,4.98305,0.10226,2.32517333333333,1.95870333333333,0.00147333333333333,0.00228666666666667,0.00818666666666667,0.00342666666666667,0.0117566666666667,0.00185666666666667
Run 2,F,CAC,SD,F-CAC-2,1.55052396798631,0.0271363280493143,0.43356528474191,0.293002468305872,0.00213769346103068,0.000594754851458425,0.00211672703325992,0.00219846158331988,0.00107038933726627,0.000909413730561252
Run 2,F,CAC,CV (%),F-CAC-3,31.115962472508,26.53660086966,18.646579096981,14.9590018722866,145.092316359549,26.0096873815637,25.8557862368883,64.157439201942,9.10453079614063,48.980990874035
Run 3,F,I,Average,F-I-1,0.0220933333333333,0.00759466666666667,0.00727333333333333,0.0124686666666667,0.00170666666666667,0.0806656666666667,0.00958033333333333,0.00787933333333333,0.00536833333333333,0.00182433333333333
Run 3,F,I,SD,F-I-2,0.00180009953428507,0.000660279738696663,0.00145788899897535,0.00133359714056882,0.000935989494243036,0.0157280839371277,0.0047126145963078,0.00141329485010501,0.00223802621372792,0.0010177943472693
Run 3,F,I,CV (%),F-I-3,8.14770459091011,8.69399234590058,20.0443033772963,10.6955873969589,54.8431344283028,19.4978664245355,49.190507598634,17.9367313237796,41.6894047884742,55.7899331592893
Run 3,F,II,Average,F-II-1,0.0199023333333333,0.00656833333333333,0.0127406666666667,0.011196,0.000994,0.703188,0.00310466666666667,0.006662,0.00782,0.00156033333333333
Run 3,F,II,SD,F-II-2,0.0061149183423275,0.00171950845689497,0.00890569039060607,0.00521031121911158,0.000868324248193035,0.646624046707977,0.00202944976122429,0.00214334434937553,0.000379889457605762,0.000595617606634771
